book,author,year,publisher
"The Best Revenge","Stella Cameron","1998","Zebra Books (Mass Market)"
"A Monstrous Regiment of Women","Laurie R. King","1995","St Martins Pr"
"Harriet the Spy","Louise Fitzhugh","1985","HarperCollins Publishers"
"Mitla Pass","Leon Uris","1988","Bantam Dell Pub Group"
"The Circle of Sodom: A Gripping New Thriller","Pat Mullan","2001","Authorhouse"
"Where To Find It In The Bible The Ultimate A To Z Resource Series","Ken Anderson","1996","Nelson Reference"
"In Search of Schrodinger\'s Cat: Quantum Physics And Reality","John Gribbin","1984","Bantam"
"The Woman Next Door","Barbara Delinsky","2001","Simon &amp; Schuster"
"A Patch of Blue","Elizabeth Kata","1988","Warner Books"
"Don\'t Get Me Started","Kate Clinton","2000","Ballantine Books"
"Werewolves in Their Youth: Stories","Michael Chabon","1999","Random House Inc"
"Wurst Case Scenario","Catherine Clark","2001","HarperTempest"
"Permanence","Karl Schroeder","2003","Tor Science Fiction"
"Soul Circus","George P. Pelecanos","2003","Little, Brown"
"I Spy Christmas:  A Book of Picture Riddles","Jean Marzollo","1992","Cartwheel Books"
"Schiffsmeldungen / The Shipping News","Annie Proulx","2002","Distribooks"
"An Open Heart: Practicing Compassion in Everyday Life","The Dalai Lama","2001","Little, Brown"
"The Sea Shack","Mark McNulty","2004","Authorhouse"
"Marx for Beginners","Rius","1979","Pantheon Books"
"Touch the Devil","Jack Higgins","1983","Signet Book"
"The Cereal Murders","Diane Mott Davidson","1994","Crimeline"
"The Twilight of American Culture","Morris Berman","2001","W.W. Norton &amp; Company"
"Herr Lehmann. Ein Roman.","Sven Regener","2001","Eichborn"
"Panik. Thriller.","R. J. Pineiro","2003","LÃ?Â¼bbe"
"Head Games","Eileen Dreyer","2004","St. Martin\'s Press"
"Midnight Angel","Julie Beard","2003","Berkley Publishing Group"
"Lightkeeper","Susan Wiggs","1997","Mira"
"New Choices in Natural Healing: Over 1,800 of the Best Self-Help Remedies from the World of Alternative Medicine","Bill Gottlieb","1995","Rodale Press"
"The Last Book in the Universe","Rodman Philbrick","2002","Scholastic Signature"
"The Rose and The Beast: Fairy Tales Retold","Francesca Lia Block","2001","Joanna Cotler"
"She Loves Me Not","Wendy Corsi Staub","2003","Pinnacle Books"
"Gift of a Letter","Alexandra Stoddard","1990","Doubleday Books"
"Needful Things","Stephen King","2004","Signet Book"
"Deadline: A Jack McMorrow Mystery","Gerry Boyle","1995","Berkley Publishing Group"
"Money to Burn","James Zagel","2002","Putnam Adult"
"Hello, Darkness","Sandra Brown","2003","Simon &amp; Schuster"
"Blood Trail","Michael Sullivan","1998","Jameson Books"
"Mortal Fear","Robin Cook","1989","Berkley Publishing Group"
"The Pianist: The Extraordinary True Story of One Man\'s Survival in Warsaw, 1939-1945","Wladyslaw Szpilman","2000","Picador USA"
"Body of a Girl","Leah Stewart","2001","Penguin Books"
"Black Death","Gwyneth Cravens","1978","Ballantine Books"
"One Day in the Life of Ivan Denisovich","Aleksandr Solzhenitsyn","1992","Farrar, Straus and Giroux"
"The Art of Fiction: Illustrated from Classic and Modern Texts","David Lodge","1993","Penguin USA"
"Felicia\'s Journey","William Trevor","1995","Penguin USA"
"Bee Season","Myla Goldberg","2000","Doubleday Books"
"Death of an Expert Witness","P. D. James","1992","Warner Books"
"Mortal Grace","Edward Stewart","1995","Dell Publishing Company"
"Photo Finished","Laura Childs","2004","Berkley Publishing Group"
"Eagle Has Landed","Jack Higgins","0","Bantam Doubleday Dell"
"The Matarese Countdown","Robert Ludlum","1998","Bantam Books"
"Tigger\'s Little Book of Bounce","Alan Alexander Milne","1999","Routledge"
"The Sound of One Hand Clapping","Richard Flanagan","2000","Pub Group West"
"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx","Adrian Nicole LeBlanc","2003","Scribner"
"Swiss Family Robinson","Johann Wyss","1991","Yearling Books"
"Fifth Life of the Catwoman","Kathleen Dexter","2002","Berkley Publishing Group"
"Love Can Build a Bridge","Naomi Judd","1993","Random House Inc"
"Der Regenmacher.","John Grisham","1998","Heyne"
"The Time Traveler\'s Wife","Audrey Niffenegger","2003","MacAdam/Cage Publishing"
"Pobby and Dingan","Ben Rice","2003","Vintage Books USA"
"The Key To Personal Peace","Billy Graham","2003","W Publishing Group"
"Cypress Point","Diane Chamberlain","2003","Mira"
"Heart of Darkness and the Secret Sharer","Joseph Conrad","1997","Signet Book"
"Oscar and Lucinda","Peter Carey","1988","HarperCollins Publishers"
"Clara the Early Years: The Story of the Pug Who Ruled My Life","Margo Kaufman","1999","Plume Books"
"Too Close to the Falls","Catherine Gildiner","2002","Penguin Books"
"The Middleman and Other Stories","Bharati Mukherjee","1999","Grove Press"
"Chicks \'N Chained Males","Esther Friesner","1999","Baen Books"
"A Savage Place","Robert B. Parker","1992","Dell"
"Claws and Effect","Rita Mae Brown","2001","Bantam Books"
"It\'s My Party and I\'ll Knit If I Want To!","Sharon Aris","2003","Allen &amp; Unwin Pty., Limited (Australia)"
"Angelmass","Timothy Zahn","2002","Tor Science Fiction"
"Presumed Innocent","Scott Turow","1999","Simon &amp; Schuster Merchandise &amp;"
"Three Fates","Nora Roberts","2002","Putnam Publishing Group"
"An Immoral Code","Caro Fraser","1999","Acacia Press, Inc."
"Strands of Sunlight","Gael Baudino","1994","Roc"
"The Great Museum: The Re-Presentation of History","Donald Horne","1984","Univ of Michigan Pr"
"The Courage to Write: How Writers Transcend Fear","Ralph Keyes","1996","Henry Holt &amp; Company"
"Writer\'s Notebook","Running Press","1984","Running Press Book Publishers"
"The Children of Henry VIII","Alison Weir","1996","Ballantine Books"
"The Curse of Chalion","Lois McMaster Bujold","2001","Eos (HarperCollins)"
"Spoon River Anthology","Edgar Lee Masters","0","Barnes Noble"
"Driver #8","Dale Earnhardt","2002","Warner Vision"
"Buddhism Plain and Simple","Steve Hagen","1998","Broadway Books"
"The Wyndham Legacy","Catherine Coulter","1994","Jove Books"
"Fire Bringer","David Clement-Davies","2000","Macmillan Children\'s Books"
"The Elements of Style, Fourth Edition","William Strunk Jr.","1999","Pearson Higher Education"
"In This Mountain","Jan Karon","2002","Viking Books"
"The Path to Love: Renewing the Power of Spirit in Your Life","Deepak Chopra","1997","Ballantine Books"
"La Chartreuse De Parme","Stendhal","0","Gallimard French"
"Tough Cookie","Lillian Sparks","1981","Bridge Logos Pub"
"Witches\' Bane","Susan Wittig Albert","1994","Berkley Publishing Group"
"Hannas Tochter","Mariann Fredriksson","0","Fischer Taschenbuch Verlag"
"We the Living","Ayn Rand","1960","Signet Book"
"Horse Heaven","Jane Smiley","2000","Random House Inc"
"Minding the Body: Women Writers on Body and Soul","Patricia Foster","1995","Anchor"
"The Dark Half","Stephen King","1994","Signet Book"
"The Parrot Who Owns Me: The Story of a Relationship","Joanna Burger","2002","Random House Trade"
"Other People\'s Children","Joanna Trollope","1999","Penguin Audiobooks"
"An Equal Music","Vikram Seth","1999","Bantam Dell Pub Group"
"Heart Breaker","Nicole Jordan","1998","Avon"
"Pygmalion and My Fair Lady","George Bernard Shaw","1975","Signet Book"
"Harriet the Spy","Louise Fitzhugh","2001","Yearling Books"
"Cutwork","Monica Ferris","2004","Berkley Publishing Group"
"Flabbergasted","Ray Blackston","2003","Fleming H. Revell Company"
"Tell Me No Lies","Annie Solomon","2004","Warner Forever"
"Uppity Women of Medieval Times","Vicki Leon","1997","Fine Communications"
"Deception Point","Dan Brown","2002","Pocket"
"Organizing for the Creative Person","Dorothy Lehmkuhl","1994","Crown Publishing Group (NY)"
"Power of Three","Diana Wynne Jones","2003","HarperTrophy"
"The Proud and the Free","Janet Dailey","2003","Phoenix Audio"
"Eleventh Hour","Lynn Erickson","1998","Mira"
"The New Joy of Cooking","Marion Rombauer Becker","1997","Scribner"
"Stitches in Time","Barbara Michaels","1996","HarperCollins Publishers"
"The Graveyard Shift","Jack Higgins","2002","Berkley Publishing Group"
"Unnatural Causes","Leah R. Robinson","2000","HarperTorch"
"Get Thee to a Punnery","Richard Lederer","1995","Dell Publishing Company"
"The Power of Logical Thinking: Easy Lessons in the Art of Reasoning...and Hard Facts About Its Absence in Our Lives","Marilyn Vos Savant","1996","St Martins Pr"
"The Invisible Ring","Anne Bishop","2000","Roc"
"Salem Falls","Jodi Picoult","2002","Washington Square Press"
"The Boathouse","Caroline Upcher","2003","Kensington Publishing Corporation"
"Coast To Coast Ghosts","Leslie Rule","2001","Andrews McMeel Publishing"
"The Eagle of the Ninth","Rosemary Sutcliff","1987","Oxford Univ Pr"
"The Firm","John Grisham","1993","Dell Publishing Company"
"One, Two, Buckle My Shoe","Agatha Christie","2004","Berkley Publishing Group"
"Once and Future King","T. H. White","1985","Berkley Publishing Group"
"Aussie Nibble: First Friend","Christobel Mattingley","0","Penguin Books Australia Ltd"
"A Sense of History: The Best Writing from American Heritage","Byron Dobell","1985","Houghton Mifflin"
"Driving Force","Dick Francis","1992","Putnam Pub Group"
"Understanding Comics","Scott McCloud","1993","Kitchen Sink Press"
"Personal Velocity","Rebecca Miller","2001","Grove Press"
"Sacred Clowns","Tony Hillerman","1994","Harpercollins"
"The Middleman and Other Stories","Bharati Mukherjee","1992","Fawcett Books"
"Nothin\' but Good Times Ahead","Molly Ivins","1993","Random House Inc"
"How to Lie With Statistics","Darrell Huff","1993","W. W. Norton &amp; Company"
"Things Can Only Get Better: Eighteen Miserable Years in the Life of a Labour Supporter","John O\'Farrell","1999","Bantam Doubleday Dell"
"Fifty Years of American Poetry: Anniversary Volume for the Academy of American Poets","Academy of American Poets","1995","Laurel"
"The Beans of Egypt, Maine","Carolyn Chute","1985","Ticknor &amp; Fields"
"Population Bomb","Ehrlich R.","1975","Not Avail"
"Jump Start Your Brain","Doug Hall","1996","Warner Books"
"The Fireman\'s Fair","Josephine Humphreys","2000","Penguin Books"
"Ultimate Prizes","Susan Howatch","1990","Fawcett Books"
"Murder At Musket Beach","Bernie Lee","1991","Worldwide Library"
"Steel Beach","John Varley","1992","Putnam Pub Group"
"Seduction by Design","Sandra Brown","2002","Warner Books"
"At the Edge of Space: Brothers of Earth/Hunter of Worlds","C. J. Cherryh","2003","Daw Books"
"Charles Kuralts American Moments","Charles Kuralt","1998","Simon &amp; Schuster"
"Bitch: In Praise of Difficult Women","Elizabeth Wurtzel","1998","Doubleday Books"
"Perfect Victim","Elizabeth Southall","2004","Penguin Books"
"The Lifeguard","Richie Tankersley Cusick","1988","Scholastic Paperbacks"
"The Unicorn Sonata","Peter S. Beagle","1996","Turner Pub"
"Cultivating Delight: A Natural History of My Garden","Diane Ackerman","2001","HarperCollins Publishers"
"Black Like Me","John Howard Griffin","1996","Signet Book"
"The Clocks","Agatha Christie","1991","Harper Mass Market Paperbacks (Mm)"
"Earth Abides","George R. Stewart","1989","Fawcett Books"
"Wild Swans: Three Daughters of China","Jung Chang","1991","Simon &amp; Schuster"
"Water Touching Stone","Eliot Pattison","2002","St. Martin\'s Minotaur"
"Blood Music","Greg Bear","1986","Ace Books"
"The Vinyl Cafe Unplugged","Stuart McLean","2000","Penguin Books"
"Falling Leaves: The True Story of an Unwanted Chinese Daughter","Adeline Yen Mah","1999","Penguin Highbridge Audio"
"Power Politics","Arundhati Roy","2002","South End Press"
"The Waking","Mike Nichols","2003","HarperTorch"
"The New York Public Library\'s Books of the Century","Elizabeth Diefendorf","1996","Oxford University Press"
"The Homing","John Saul","1994","Ballantine Books"
"Sharing Nature With Children","Joseph Bharat Cornell","1979","Crystal Clarity Pubs"
"Politically, Fashionably, and Aerodynamically Incorrect: The First Outland Collection","Berkeley Breathed","1992","Little Brown &amp; Co"
"Disappointment with God","Philip Yancey","1997","Zondervan Publishing Company"
"A Density of Souls","Christopher Rice","2000","Miramax"
"Faraway Summer","Johanna Hurwitz","2000","HarperTrophy"
"The Fourth Garfield Fat Cat Three Pack","Jim Davis","1995","Ballantine Books"
"The Neon Bible","John Kennedy Toole","1990","Grove Press"
"The Inner Sanctum","Stephen W. Frey","1998","Signet Book"
"On the Black Hill","Bruce Chatwin","0","Pan Books Ltd"
"Book of Merlyn","T. H. White","1987","Berkley Publishing Group"
"Neandertal. Tal des Lebens.","John Darnton","1998","Goldmann"
"Witches of Eastwick","John Updike","1984","Alfred A. Knopf"
"Fight Club","Chuck Palahniuk","1996","Hyperion Books"
"Love Warps the Mind a Little","John Dufresne","1997","W. W. Norton &amp; Company"
"Criminal Intent","Sheldon Siegel","2003","Signet Book"
"Guilty Knowledge","E. Howard Hunt","2000","Forge"
"Mules and Men","Zora Neale Hurston","1978","Indiana University Press"
"Unbearable Lightness of Being","Milan Kundera","0","Faber Faber Inc"
"The Writing Life","Annie Dillard","1990","Perennial"
"A Slant of Sun: One Child\'s Courage","Beth Kephart","1999","Quill"
"It\'s Only a Game","Terry Bradshaw","2001","Atria"
"Putting the One Minute Manager to Work","Kenneth Blanchard","1992","Penguin Putnam"
"Tirra Lirra by the River","Jessica Anderson","1991","Penguin USA"
"American Greats","Robert A. Wilson","1999","PublicAffairs"
"Better Than Life","Doug Naylor","2004","Penguin Books Ltd"
"Where the Girls Are: Growing Up Female With the Mass Media","Susan J. Douglas","1995","Three Rivers Press (CA)"
"Ralph\'s Party","Lisa Jewell","1999","Penguin Books Ltd"
"Ashes in the Wind","Kathleen E. Woodiwiss","1981","Harpercollins"
"Keeper of the Dream","Penelope Williamson","1996","Dell Publishing Company"
"East of Eden","John Steinbeck","0","Penguin Putnam~trade"
"Nursing Mother, Working Mother: The Essential Guide for Breastfeeding and Staying Close to Your Baby After You Return to Work","Gale Pryor","1997","Harvard Common Press"
"The Funhouse","Dean R. Koontz","1994","Berkley Publishing Group"
"Les Justes","Albert Camus","1999","Schoenhof Foreign Books Inc"
"Highland Fling","Tess Mallory","2003","Dorchester Publishing Company"
"For My Lady\'s Heart","Jane Howard","2000","Zebra Books"
"For Kicks","Dick Francis","1990","Fawcett Books"
"The Calvin and Hobbes Tenth Anniversary Book","Bill Watterson","1995","Andrews McMeel Publishing"
"Rumpole Rests His Case","John Mortimer","2003","Penguin Books"
"The Saskiad","Brian Hall","1997","Secker &amp; Warburg"
"Dave Barry\'s Complete Guide to Guys","Dave Barry","2000","Ballantine Books"
"Biting the Moon","Martha Grimes","2000","Onyx Books"
"Out of the Mist","JoAnn Ross","2003","Pocket Books"
"Artistic License","Julie A. Hyzy","2004","Five Star (ME)"
"Wildlife Preserves","Gary Larson","1989","Andrews McMeel Publishing"
"The Stories of Raymond Carver: Will You Please Be Quiet, Please? What We Talk About When We Talk About Love. Cathedral","Raymond Carver","1985","Pan Macmillan"
"Dance To The Piper","Nora Roberts","1998","Mira"
"Jackdaws","Ken Follett","2001","Dutton Books"
"Stick Figure: A Diary of My Former Self","Lori Gottlieb","2000","Simon &amp; Schuster"
"Honourable Schoolboy","John Le Carre","0","Pan Books Ltd"
"Night Chills","Dean R. Koontz","1983","Berkley Publishing Group"
"Incriminating Evidence","Sheldon Siegel","2001","Bantam Books"
"Seasons of the Heart/Four Complete Novels in One Book","Janette Oke","1993","Bbs Pub Corp"
"Cordina\'s Crown Jewel","Nora Roberts","2002","Silhouette"
"Ancient Secrets of the Bible","Charles E. Sellier","1994","Dell Publishing Company"
"Bygones","Lavyrle Spencer","1992","Audio Literature"
"The Sunne in Splendour","Sharon Kay Penman","1990","Ballantine Books"
"Gib Rides Home","Zilpha Keatley Snyder","1999","Yearling Books"
"Thousand Cranes","Yasunari Kawabata","1996","Vintage Books USA"
"Battlefield Earth","L. Ron Hubbard","2000","Books on Tape"
"Sons and Lovers","D. H. Lawrence","1985","Signet Classics"
"Last Orders","Graham Swift","0","Pan Books Ltd"
"The Firm","John Grisham","1992","Bantam Dell Publishing Group"
"The Medici Dagger","Cameron West","2001","Atria"
"Daughter of Fortune","Isabel Allende","2000","Perennial"
"The Peppered Moth","Margaret Drabble","2002","Harvest Books"
"Stone 588","Gerald A. Browne","1989","Berkley Pub Group"
"100 Great Fantasy Short, Short Stories","Isaac Asimov","1987","Harper Mass Market Paperbacks (Mm)"
"Raising Fences: A Black Man\'s Love Story","Michael Datcher","2002","Riverhead Books"
"In the Time of the Butterflies","Julia Alvarez","1995","Plume Books"
"Dave Barry\'s Gift Guide to End All Gift Guides","Dave Barry","1994","Random House Inc"
"The Wedding Dress","Virginia Ellis","2003","Ballantine Books"
"The Cider House Rules","John Irving","1997","Ballantine Books"
"Grimm\'s Grimmest","Jacob Grimm","1997","Chronicle Books"
"Flight Lessons","Patricia Gaffney","2002","HarperAudio"
"Frameshift","Robert J. Sawyer","1997","St Martins Pr"
"Envy","Iurii Karlovich Olesha","1979","Ardis Publishers"
"I Love Bad Boys","Lori Foster","2002","BRAVA"
"Feuer und Stein.","Diana Gabaldon","1998","Blanvalet"
"Belgrave Square.","Anne Perry","1996","Heyne"
"The Fourth Deadly Sin","Lawrence Sanders","2001","Berkley Publishing Group"
"Mere Christianity","C. S. Lewis","2000","Broadman &amp; Holman Pub"
"Spandau Phoenix","Greg Iles","1994","Signet Book"
