name,book
"Xavia","Mr. Murder"
"Stacy","Farm Fatale: A Comedy of Country Manors"
"Marie","Citizen Coors: An American Dynasty"
"Markos","The Door to December"
"Hosanna","Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players"
"Garnett","N Is for Noose"
"Mira","The Alienist"
"Kayann","Once upon a More Enlightened Time: More Politically Correct Bedtime Stories"
"Pernell","A Prayer for Owen Meany"
"Anabelle","Prisoner of My Desire"
"Finnley","El Palacio de La Luna"
"Adaline","The Alchemist: A Fable About Following Your Dream"
"Velma","e"
"Emad","Bridget Jones\'s Diary"
"Dennis","The Hotel New Hampshire"
"Sherlyn","The Throwback"
"Remington","Geek Love"
"Elian","Just One Look"
"Raelene","Friedhof der Kuscheltiere. Roman."
"Lilly","The Revenge Of The Baby-Sat"
"Eunice","Love You Forever"
"Jakorey","LA Signora Dalloway"
"Cristobal","Straight Man"
"Alexandria","Who You Know"
"Sora","The Music of the Spheres"
"Kamya","The Heart of a Woman"
"Russell","The Da Vinci Code"
"Dalia","Animal Farm"
"Cyrus","The Secret Life of Bees"
"Leah","The Color Purple"
"Jondavid","Wicked: The Life and Times of the Wicked Witch of the West"
"Jamese","La Tombe des lucioles"
"Kathern","The Hatbox Baby"
"Austin","The Two Mrs. Grenvilles"
"Keyanna","Cause of Death"
"Remy","The Amazing Maurice and His Educated Rodents"
"Claretha","The Whitechapel Conspiracy"
"Efe","Maze: Solve the World\'s Most Challenging Puzzle"
"Rashawnda","El Palacio de La Luna"
"Valecia","What\'s Eating Gilbert Grape"
"Reyes","Oscar et la dame rose"
"Sandra","A Kitchen Witch\'s Cookbook"
"Kelon","See How They Run"
"Yousuf","Four Blind Mice"
"Jaidyn","A Maiden\'s Grave"
"Angel","Still Me"
"Jaedyn","Salem\'s Lot"
"Colton","L Is for Lawless"
"Katie","The Bonesetter\'s Daughter"
"Justina","Season of Passion"
"Sherlin","Oceano Mare"
"Zhi","Einstein\'s Dreams"
"Genavieve","The Broken Promise Land"
"Trinidy","On a Night Like This"
"Sebastian","Chesapeake Blue"
"Olga","Carolina Moon"
"Nelda","Wicked: The Life and Times of the Wicked Witch of the West"
"Clinton","Metropolitan life"
"Rylie","Stick Figure: A Diary of My Former Self"
"Kierra","The Color Purple"
"Zebadiah","In the Dark"
"Arrington","Good in Bed"
"Marquez","Seinlanguage"
"Vickie","Breathing Lessons"
"Devontae","Die Stadt der Blinden."
"Messiah","The Secret Life of Bees"
"Shacoya","Coffee Will Make You Black"
"Lester","The Hellfire Club"
"Huberta","Free"
"Yarelis","White Teeth"
"Buffy","Harry Potter y la piedra filosofal"
"Elvis","The Stand: Complete and Uncut"
"Kennesha","True Love: Stories"
"Bryant","30 Things Everyone Should Know How to Do Before Turning 30"
"Kennan","All I Need to Know I Learned from My Cat"
"John","Parting Gifts"
"Brook","Once In a House On Fire"
"Ilana","The Second Generation"
"Johnny","The Great Taos Bank Robbery and Other Indian Country Affairs"
"Sophi","Chromosome 6"
"Maurine","Me Talk Pretty One Day"
"Alyssa","The Whole Enchilada"
"Nicola","Last Days of Summer"
"Shaquille","Charming Billy"
"Mykenzie","Being There"
"Christian","The Man Who Ate the 747"
"Timothy","The Summons"
"Kahne","One Hit Wonderland"
"Sylvia","The Robots of Dawn"
"Devin","Ishmael"
"Dinah","Das Superwieb"
"Mehreen","The Vendetta Defense"
"James","The Ghostway"
"James","A Yellow Raft in Blue Water"
"Sedric","Ocho, El"
"Shayna","Round Ireland With a Fridge"
"Kirsten","Dave Barry\'s Guide to Guys: A Fairly Short Book"
"Colton","The Giving Tree"
"Renea","Neverwhere"
"Makena","The Kid Who Became President"
"Naftoli","Jacob Have I Loved"
"Cleveland","The Story of Lucy Gault"
"Ruqayyah","The Book of Questions"
"Boyd","The Cheshire Cat\'s Eye"
"London","I Want to Live"
"Willie","The Seventh Commandment"
"Mikeal","Cold Sassy Tree"
"Dallas","And a Deer\'s Ear, Eagle\'s Song, and Bear\'s Grace: Animals and Women"
"Carina","The Hot Zone"
"Haleigh","Shinju"
"Edwin","To the Lighthouse"
"Karima","The Canterbury Tales, in Modern English"
"Samantha","Private Scandals"
"Lili","The Eye of The I"
"Angelique","The Secret Life of Bees"
"Anthony","Buzz Cut"
"Maud","Night of the Toxic Ostrich"
"Denise","A Perfect Stranger"
"Barb","Yukon Ho!"
"Gabriela","Southern Gentlemen"
"John","Beach House"
"Jaslyne","Love and Marriage"
"Brielle","Silent Spring"
"Yohana","Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions"
"Lavelle","The Black Ice"
"Ike","Night over Water"
"Rahul","The House of Mirth"
"Alex","The Neverending Story"
"Kathleen","The Ice House"
"Charmaine","The Greatest Miracle in the World"
"Isaac","The Simpsons: A Complete Guide to Our Favorite Family"
"Tajuana","House of Leaves"
"Ardel","The Dress Lodger"
"Ralph","The Lions of Al-Rassan"
"Rickie","Bad Girls of the Bible and What We Can Learn from Them"
"Pattie","Mystic River"
"Carson","Slow Death"
"Maureen","The History of the Siege of Lisbon"
"Wayne","Unnatural Death"
"Lex","You Might Be a Redneck If..."
"Onix","Detox: Cleanse and Recharge Your Mind, Body and Soul"
"Jessyca","Between Planets"
"Gail","Vineland"
"Claire","Just for Fun: The Story of an Accidental Revolutionary"
"John","The Further Observations of Lady Whistledown"
"Rosi","Cause of Death"
"Shelbe","The Road to Perdition"
"Anna","Crooked River Burning"
"Emilio","Drowning Ruth"
"Haris","The Daring Game"
"Jeshua","The Voice of the Night"
"Zander","The Stand: Complete and Uncut"
"Orlanda","A Heartbreaking Work of Staggering Genius"
"Lukas","The End of the Pier"
"Deirdre","Oskar und die Dame in Rosa"
"John","Retribution"
"Amena","A Rumor of War"
"Loni","The Alchemist: A Fable About Following Your Dream"
"Harold","The Secret Garden"
"Randy","We the Living"
"Danielle","Hollywood Kids"
"Bennett","James Cameron\'s Titanic"
"Catherine","Gulag Archipelago One"
"Robert","Love You Forever"
"Stephen","Day Dreamer"
"Vincenzo","The Bourne Identity"
"Porcha","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right"
"Randall","The Pelican Brief"
"Carolyn","Last Days of Summer"
"Dylon","A Prayer for Owen Meany"
"Saint","The Persian Pickle Club"
"Salli","Das Tagebuch Der Bridget Jones"
"Kynslee","Nerd in Shining Armor"
"Izabelle","Disappearing Moon Cafe"
"Renee","The Trials of Tiffany Trott"
"Damian","Night of the Wolf"
"John","Bone Key"
"Calvin","The Idiot Girls\' Action Adventure Club"
"Ann","Saving Faith"
"Desiree","The Secret Diary of Adrian Mole, Aged 13 3/4"
"Manley","The Best of Lewis Carroll"
"Bennett","Discovery Titanic"
"Vladimir","The Tin Princess"
"Vesta","Unbearable Lightness of Being"
"Debra","The Heiress"
"Tericka","Le Meilleur Des Mondes"
"Kareem","The Millionaires"
"Daniel","The Alienist"
"Arlo","Deception Point"
"Carl","The Rapture of Canaan"
"Nicholas","It\'s Always Something"
"Conley","Bastard Out of Carolina"
"Mordechai","Dead Run"
"Kaytlin","Bravo Two Zero"
"Nicholle","Fast Women"
"Donell","The Hundred Secret Senses"
"Mamie","The Killing Kind"
"Velvie","Complicity"
"Diamond","Man Who Mistook His Wife for a Hat"
"Claude","Timoleon Vieta Come Home: A Sentimental Journey"
"James","Flabbergasted"
"Avani","The Experiment"
"Criss","Ladder of Years"
"Elta","Violets Are Blue"
"Mellissa","A Son of the Circus"
"Carlton","Expedition to Earth"
"Sunny","The Ice Storm"
"Logen","Boy\'s Life"
"Leanne","Sword of Shannara"
"James","Beach Music"
"Monica","Bias: A CBS Insider Exposes How the Media Distort the News"
"Melania","The Smoke Jumper"
"Bruce","A Gesture Life"
"Keith","Good in Bed"
"Edwina","Animales En General"
"Serenity","Lost Light"
"Alexia","The First Victim"
"James","Simple Abundance:  A Daybook of Comfort and Joy"
"Ilani","Bonjour Tristesse"
"Oumar","Shopaholic Ties the Knot"
"Kelsie","La Vida Sexual de Catherine Millet"
"Jancarlos","The Da Vinci Code"
"Russel","Neverwhere"
"Madilyn","The Girls\' Guide to Hunting and Fishing"
"Mailani","Cranberry Queen"
"Jordi","The Alienist"
"Charna","Daughter of Fortune"
"Carles","Balzac and the Little Chinese Seamstress"
"Lauren","Consider This, Senora"
"Jordan","The Love Charm"
"Zadrian","The Client"
"Ellen","The Cat Who Knew a Cardinal"
"Dessie","The Damnation Game"
"Quinley","Grendel"
"Paulina","Tell Me Lies"
"Sadie","Princess Charming"
"Karina","Kingdom Of Moonlight"
"Ruel","Tortilla Flat"
"Izaac","Too Close to the Falls"
"Aracely","Every Living Thing"
"Othel","The Liar\'s Club: A Memoir"
"Earline","The Loop"
"Harrison","The Cat Who Came to Breakfast"
"Dawne","Eternity Road"
"Kadence","An ALTOGETHER NEW BOOK OF TOP TEN LISTS LATE NIGHT DAVID LETTERMAN"
"Denicia","The Good Mother"
"Irene","Island of the Sequined Love Nun"
"Galen","Forever in Your Embrace"
"Patsy","Carnal Innocence"
"Torrance","There\'s Treasure Everywhere--A Calvin and Hobbes Collection"
"Lila","Underground Education"
"Lexia","It\'s Not About the Bike: My Journey Back to Life"
"Tanaysia","My Sister the Moon"
"Joan","Chieftain"
"Minal","Postmortem"
"Rohit","The King of Torts"
"Jay","Into Love and Out Again"
"Dereke","How Proust Can Change Your Life: Not a Novel"
"Helena","The Last Unicorn"
"Colby","Winesburg, Ohio"
"Alexis","The Book of Questions"
"Jeane","Callahan\'s Crosstime Saloon"
"Herman","Midnight Bayou"
"Jolie","2061: Odyssey Three"
"Lorene","The Coming Plague: Newly Emerging Diseases in a World Out of Balance"
"Tyreek","Postmortem"
"Kourtney","The Songlines"
"Angeli","The Firm"
"Menelik","The Bridges of Madison County"
"Terion","My Louisiana Sky"
"Rubin","Free"
"Ariadna","Neverwhere"
"Yaakov","Here on Earth"
"Teddy","Galileo\'s Daughter: A Historical Memoir of Science, Faith, and Love"
"Lanora","Cold Sassy Tree"
"Cheyan","The Judge"
"Raquel","Joni: An Unforgettable Story"
"Supriya","Horse and His Boy"
"Pinkie","Twice a Hero"
"Ericka","Das Superwieb"
"Chandra","Case of Curiosities"
"Mary","Dreaming Water"
"Rikki","50 Amazing U.S. Mazes: Journey Through the USA"
"Morgaine","The Alienist"
"Jacari","Out of Sight"
"Tysen","Ice Reich"
"Sharita","Rose Daughter"
"Heidi","Good in Bed"
"Myrah","The Woman Next Door"
"Abraham","The Corrections"
"Annaleah","Swan Song"
"Jessica","Every Womans Health the Complete Guide to Body"
"Mariko","Esperanza Rising"
"John","Over the Edge"
"Marvin","A Yellow Raft in Blue Water"
"Marwah","Solo: On Her Own Adventure"
"Breeonna","Bridge Across My Sorrows"
"Jose","Three Wishes"
"Samule","Dumb, Dumber, Dumbest: True News of the World\'s Least Competent People"
"Geraldine","The Third Twin"
"Curtis","Last Chance Saloon"
"Carolyna","U.S.S. Seawolf"
"Austin","Silence of the Lambs"
"Verla","The Hunt for Red October"
"Erika","The Demon-Haunted World: Science As a Candle in the Dark"
"Hatsue","St. Patrick\'s Gargoyle"
"Valdemar","Letters from a Nut"
"Nikola","Daughters of Memory"
"Katerine","Samurai William: The Adventurer Who Unlocked Japan"
"Eva","Around the World in 80 Days"
"Jennifer","Lucifers Hammer"
"Jane","The First American: The Life and Times of Benjamin Franklin"
"Gladys","Expendable"
"Jerriann","Living Juicy: Daily Morsels for Your Creative Soul"
"Lavell","2061: Odyssey Three"
"Filmore","Free"
"Catherine","March Upcountry"
"Sayvion","Catwatching"
"Shirley","Traitor\'s Gate"
"Mikeal","Sleeping at the Starlite Motel: And Other Adventures on the Way Back Home"
"Gino","The Thorn Birds"
"Cierra","Love That Dog"
"Joshua","Blu\'s Hanging"
"Amal","The Castle: A New Translation, Based on the Restored Text"
"Ariel","Zimmer mit Aussicht. Eine Liebesgeschichte."
"Takeshia","The Secret Life of Bees"
"Jeanie","Milarepa"
"Lisbet","Flow: The Psychology of Optimal Experience"
"Franky","Shadowfires"
"Gloria","Stop! the Watch: A Book of Everyday, Ordinary, Anybody Olympics"
"Shawnda","I\'m Not Really Here"
"Cindi","National Geographic Photography Field Guide: Secrets to Making Great Pictures"
"Caitlyn","One for the Road: An Outback Adventure"
"Marjory","Waltzing the Cat"
"Robert","The Sign of the Beaver"
"Nazareth","Best Bisexual Erotica"
"Meghen","A Prayer for Owen Meany"
"Edrie","Living Buddha, Living Christ"
"Cecil","The Seductive Impostor"
"Newton","The Killer Angels"
"Rylen","Nerd in Shining Armor"
"Elizabeth","All I Need to Know I Learned from My Cat"
"Peggy","The First Counsel"
"Filomena","Night Of Crash-Test Dummies"
"Adell","The Sum of All Fears"
"Kell","Morality Play"
"Kimmie","My Little Book About Mrs. Tiggy-Winkle"
"Orren","Girl in Hyacinth Blue"
"Alaya","Crazy in Alabama"
"Patrick","All Around the World Cookbook"
"Payson","Catch Me If You Can: The True Story of a Real Fake"
"Deloris","Ecology of a Cracker Childhood"
"Shaun","Oryx and Crake"
"Jasmynn","Cats Eye"
"Aniyah","Plantation: A Lowcountry Tale"
"Mirka","A Fine Balance"
"Mickie","Ariel/Book of Change"
"Emerald","Summer Pleasures"
"Linda","Dream of the Red Chamber"
"Marynell","Baby-Sitters Little Sister #14:  Karen\'s New Year"
"Jeffery","Mr. Perfect"
"Aaron","The China Garden"
"Mahkai","Notes from a Small Island"
"Modesto","Foundation and Earth"
"Giuliana","I Capture the Castle"
"Aracelis","Kill and Tell"
"Jovaun","Whistleblower"
"Dallen","Inter-Office Male"
"Nora","Odd Thomas"
"Quantae","Peace Pilgrim Her Life and Work In Her Own"
"Catharine","The Tenth Justice"
"Roxie","Dust to Dust"
"Kiani","Time Travelers Strictly Cash"
"Mathieu","Intimacies"
"Oleta","McNallys Trial"
"John","Dead Run"
"Layanna","Street Boys"
"Estefanny","A Recipe for Bees"
"Brian","Dragonsong"
"Trina","The Summons"
"Terry","The Brethren"
"Seth","The Dolphins of Pern"
"Sarahjane","The Five People You Meet in Heaven"
"Quanisha","The Elementary Particles"
"John","Warchild"
"Howard","The Dog Who Loved Too Much: Tales, Treatments, and the Psychology of Dogs"
"Dmarco","The Prize Winner of Defiance, Ohio: How My Mother Raised 10 Kids on 25 Words or Less"
"Joaquin","Oh, the Places You\'ll Go!"
"Darrly","Die Physiker"
"Evangelyn","Color Purple"
"Anja","The Moor\'s Last Sigh"
"Pamala","""What Do You Care What Other People Think?"": Further Adventures of a Curious Character"
"Karizma","The Boy Next Door"
"Michael","Put a Lid on It"
"Tawanda","Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks"
"Leotis","So You\'re Thinking About Homeschooling: Fifteen Families Show How You Can Do It"
"Kiylee","Brightly Burning"
"Kesi","If Beale Street Could Talk"
"Spencer","All I Need to Know I Learned from My Cat"
"Bowen","The Corrections"
"Xian","Chosen Prey"
"Caryn","Het Theater De Brief En De Waarheid"
"Iyanna","Abide With Me"
"Caylynn","The Firm"
"Sophia","Point of Origin"
"Veronika","For All the Wrong Reasons"
"Kaden","Q Is for Quarry"
"Paulyne","The Best Laid Plans"
"Kobe","A Tale of Time City"
"Daina","Ne Le Dis a Personne"
"Monta","The Bridges of Madison County"
"Christianjames","Slightly  Chipped: Footnotes in Booklore"
"Seanna","The Bridges of Madison County"
"Makaylie","Fortunes of War"
"Kirby","Life of Pi"
"Ricardo","Two or Three Things I Know for Sure"
"Jonah","Me Talk Pretty One Day"
"Kashonda","Behind the Scenes at the Museum"
"Priscilla","Callahan\'s Cross Salon"
"Lloyd","Sing Me Home"
"Camryn","An Anthropologist on Mars: Seven Paradoxical Tales"
"Stella","The Mismeasure of Man"
"Dwight","Dead Sleep"
"Rio","Jesus Saves"
"Betina","The Cider House Rules"
"Keelin","Rendezvous with Rama"
"Rubert","First Blood"
"Tonnette","The Alchemist: A Fable About Following Your Dream"
"Deborah","Skeleton Crew"
"Adis","Q Is for Quarry"
"Althea","""I Remember Laura"": Laura Ingalls Wilder"
"Stephanie","Remember Summer"
"Dionte","Ne Le Dis a Personne"
"Georg","Ishmael"
"Jonathon","Postmortem"
"Alanna","La Vie devant soi"
"James","Die Erben des Rings. Fantastische Geschichten. J.R.R. Tolkien zu Ehren."
"Jackie","The Last Juror"
"Catherin","The Attorney"
"Robert","Romancing Mister Bridgerton"
"Harold","The Girls\' Guide to Hunting and Fishing"
"Delana","The Girl at the End of the Line"
"Makenna","Mystic River"
"Zelda","The History of the Siege of Lisbon"
"Tammy","The Last Promise"
"Morgon","Here on Earth"
"Jarely","Balzac and the Little Chinese Seamstress"
"Veer","Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right"
"John","Northern Lights"
"Sarahi","The Joy Luck Club"
"Oren","Beach House"
"Brendan","Protect and Defend"
"Saanvi","A Year by the Sea: Thoughts of an Unfinished Woman"
"Raelyn","The Color of Water: A Black Man\'s Tribute to His White Mother"
"Lezly","Hell\'s Angels"
"Herchel","When the Storm Breaks"
"Jakob","365 Read-Aloud Bedtime Bible Stories"
"Johnny","See Jane Run"
"Mandalyn","M Is for Malice"
"Kourosh","Miss Rumphius"
"Julia","With a Vengeance"
"Ivana","Midnight Runner"
"Taresa","Dinner at the Homesick Restaurant"
"Colleen","Glory in Death"
"John","When Night Falls"
"Kaden","The Secret Life of Bees"
"Vincente","The Mummy or Ramses the Damned"
"Malique","From the Corner of His Eye"
"Varick","Mars Crossing"
"Donna","The Hobbit"
"Kirstie","Chromosome 6"
"Carlos","The Prettiest Feathers"
"Quana","The Restraint of Beasts"
"Mekenzie","Der Hahn ist tot. Roman."
"Harper","Blackberry Wine"
"Dante","Isaac\'s Storm: A Man, a Time, and the Deadliest Hurricane in History"
"Marcellous","Housekeeping"
"Reginal","The Diagnosis"
"Roman","The Millionaires"
